Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
Wengie,Howto & Style,Wengie,United States,US,Howto,Sep,13500000,1900272833.0,462,1335000.0,334.0,5300.0,4000.0,64100.0,100000.0,2010.0,9.0
Vlad y Niki Show,unknown,Vlad y Niki Show,United States,US,Entertainment,Nov,13400000,4622628957.0,477,92228000.0,23100.0,368900.0,276700.0,4400000.0,200000.0,2018.0,8.0
Codiscos,Music,Codiscos,Colombia,CO,Music,Feb,13400000,11789678655.0,7356,228902000.0,57200.0,915600.0,686700.0,11000000.0,100000.0,2007.0,8.0
The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,People & Blogs,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,India,IN,People,Sep,13400000,2139769210.0,1028,1043000.0,261.0,4200.0,3100.0,50100.0,100000.0,2016.0,9.0
Vibhu 96,unknown,Vibhu 96,India,IN,Education,Jun,13400000,20563378.0,256,20264000.0,5100.0,81100.0,60800.0,972700.0,300000.0,2022.0,5.0
Blockbuster Movies,Entertainment,Blockbuster Movies,India,IN,,Jul,13400000,2650061211.0,0,16205232.051367005,0.0,0.0,0.0,0.0,100000.0,2017.0,4.0
ATHLEAN-Xï¿½,Howto & Style,ATHLEAN-Xï¿½,United States,US,Howto,Dec,13400000,2319515787.0,1349,14498000.0,3600.0,58000.0,43500.0,695900.0,700000.0,2006.0,16.0
My Mate Nate,Comedy,My Mate Nate,Thailand,TH,Entertainment,Dec,13400000,3363634923.0,1195,41672000.0,10400.0,166700.0,125000.0,2000000.0,300000.0,2014.0,8.0
H2ODelirious,Gaming,H2ODelirious,United States,US,Games,May,13400000,4356686216.0,3727,16785000.0,4200.0,67100.0,50400.0,805700.0,700000.0,2007.0,24.0
GMA Integrated News,News & Politics,GMA Integrated News,Philippines,PH,News,Oct,13400000,9569814790.0,296272,115459000.0,28900.0,461800.0,346400.0,5500000.0,100000.0,2007.0,29.0
Peet Montzingo,People & Blogs,Peet Montzingo,United States,US,People,Jun,13400000,10022557589.0,319,397715000.0,99400.0,1600000.0,1200000.0,19100000.0,500000.0,2014.0,1.0
The Q,People & Blogs,Tom Duggan,United States,US,Sports,Jan,13400000,4306212515.0,96,3.0,0.0,0.01,0.01,0.14,1.0,2006.0,17.0
Trakin Tech,Science & Technology,Trakin Tech,India,IN,Tech,Nov,13300000,2262690743.0,3640,43669000.0,10900.0,174700.0,131000.0,2100000.0,100000.0,2011.0,2.0
theRadBrad,Gaming,theRadBrad,United States,US,Games,Nov,13300000,6050102764.0,8195,15694000.0,3900.0,62800.0,47100.0,753300.0,100000.0,2006.0,27.0
Matt Steffanina,Entertainment,Matt Steffanina,United States,US,Entertainment,Nov,13300000,3299216601.0,331,1929000.0,482.0,7700.0,5800.0,92600.0,200000.0,2007.0,28.0
Stray Kids,People & Blogs,straykids,Unknown,,Comedy,Mar,13300000,3364230487.0,3,2.0,0.0,0.01,0.01,0.1,1.0,2007.0,17.0
Kurt Hugo Schneider,Entertainment,Kurt Hugo Schneider,United States,US,Entertainment,Oct,13300000,3733856870.0,698,4233000.0,1100.0,16900.0,12700.0,203200.0,500000.0,2007.0,16.0
Vogue,Entertainment,Vogue,United States,US,People,Jun,13300000,4177184071.0,3166,45095000.0,11300.0,180400.0,135300.0,2200000.0,100000.0,2008.0,29.0
ýýýýýýýýýýýýýýýýýý,People & Blogs,ýýýýýýýýýýýýýýýýýý,Russia,RU,Entertainment,Oct,13300000,6482687220.0,608,90241000.0,22600.0,361000.0,270700.0,4300000.0,100000.0,2015.0,4.0
Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,People & Blogs,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,United States,US,Education,Nov,13300000,9088562002.0,2742,161889000.0,40500.0,647600.0,485700.0,7800000.0,100000.0,2011.0,26.0
VexTrex,Entertainment,VexTrex,Ukraine,UA,Entertainment,Sep,13300000,7923901253.0,2411,379346000.0,0.0,0.0,0.0,0.0,30.371576935425267,2014.0,8.0
penguinz0,Gaming,penguinz0,United States,US,Entertainment,May,13300000,7773543609.0,4613,188948000.0,47200.0,755800.0,566800.0,9100000.0,200000.0,2007.0,7.0
Just For Laughs Gags,Comedy,Just For Laughs Gags,United States,US,Comedy,Jan,13300000,7406628736.0,6916,17468000.0,4400.0,69900.0,52400.0,838500.0,100000.0,2007.0,14.0
Kabita's Kitchen,Howto & Style,Kabita's Kitchen,India,IN,Howto,Oct,13300000,2831275503.0,1489,43118000.0,10800.0,172500.0,129400.0,2100000.0,200000.0,2014.0,7.0
BanderitaX,Gaming,BanderitaX,Saudi Arabia,SA,Games,Aug,13300000,4129249415.0,1640,70712000.0,17700.0,282800.0,212100.0,3400000.0,200000.0,2013.0,20.0
AzzyLand,Gaming,AzzyLand,Canada,CA,Entertainment,May,13300000,6412313570.0,1749,5387000.0,1300.0,21500.0,16200.0,258600.0,100000.0,2015.0,8.0
HUBAï¿½ï¿½,Entertainment,HUBAï¿½ï¿½,United States,US,Entertainment,Feb,13200000,9884886099.0,538,319647000.0,79900.0,1300000.0,958900.0,15300000.0,500000.0,2021.0,20.0
BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Entertainment,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Russia,RU,Entertainment,Jan,13200000,1148422000.0,192,8769000.0,2200.0,35100.0,26300.0,420900.0,200000.0,2019.0,10.0
Brawl Stars,Gaming,Brawl Stars,Finland,FI,Games,Apr,13200000,2036408398.0,172,20369000.0,5100.0,81500.0,61100.0,977700.0,100000.0,2017.0,28.0
Ei Nerd,Entertainment,Einerd,Unknown,,Games,Nov,13200000,3568392223.0,0,65691219.59624219,0.0,0.0,0.0,0.0,1100000.0,2007.0,19.0
Sonotek Bhakti,Entertainment,Sonotek Bhakti,India,IN,Music,Dec,13200000,3789736218.0,8019,25321000.0,6300.0,101300.0,76000.0,1200000.0,65.55659101353694,2010.0,27.0
Vilmei,unknown,Vilmei,Indonesia,ID,People,Sep,13200000,4205664894.0,1324,264308000.0,66100.0,1100000.0,792900.0,12700000.0,800000.0,2013.0,25.0
